Textual,,Textual
Tactile,,Tactile
Abstract,,Abstract
Concrete,,Concrete
Pictorial,,Pictorial
Listening,,Listening
Speaking,,Speaking
Reading,,Reading
Writing,,Writing
Gestures,,Gestures
Draw,,Draw
numeracy,,numeracy
literacy,,literacy
Draft,,Draft
Review,,Review
Redraft,,Redraft
Flagged,,Flagged
Live,,Live
Retired,,Retired
Mock,,Mock
Pending,,Pending
Processing,,Processing
Error,,Error
Complete,,Complete
collections,Which all collections is this content part of
concepts,Micro-concepts associated with this content
item_sets,Assessment items associated with this content
methods,Teaching methods used in this content
screenshots,Screenshots and other media for this content
children,Child content items (in sorted order) in case of collections like Textbooks
