identifier,objectType,Lemma
hi:W:0000161910,Word,शहरुवा
hi:W:0000161911,Word,अग्राम्य
hi:W:0000161912,Word,पुरवासी
hi:W:000016200,Word,सूफ़ी
hi:W:000016201,Word,सूफी
hi:W:000016210,Word,जंगली_भैंसा
hi:W:000016211,Word,बनभैंसा
hi:W:000016212,Word,बनैला_भैंसा
hi:W:000016213,Word,अरना
hi:W:000016214,Word,अर्ना
hi:W:000016220,Word,जोत_पशु
hi:W:000016230,Word,मवेशी
hi:W:000016231,Word,ढोर
hi:W:000016232,Word,गोरू
hi:W:000016233,Word,धूरडाँगर
hi:W:000016240,Word,बंदरिया
hi:W:000016241,Word,बन्दरिया
hi:W:000016242,Word,बंदरी
hi:W:000016243,Word,बन्दरी
hi:W:000016244,Word,बनरिया
hi:W:000016245,Word,वानरी
hi:W:000016246,Word,मर्कटी
hi:W:000016250,Word,हिरणी
hi:W:000016251,Word,हिरनी
hi:W:000016252,Word,कुरंगी
hi:W:000016253,Word,मृगी
hi:W:000016254,Word,हरिणी
hi:W:000016255,Word,हरनी
hi:W:000016256,Word,मृगिनी
hi:W:000016257,Word,कुरंगिन
hi:W:000016260,Word,छोटी_बहन
hi:W:000016261,Word,अनुजा
hi:W:000016262,Word,अनुजन्मा
hi:W:000016263,Word,अनुजाता
hi:W:000016270,Word,समूह
hi:W:000016271,Word,ढेर
hi:W:000016272,Word,समष्टि
hi:W:000016273,Word,अंबार
hi:W:000016274,Word,अंबर
hi:W:000016275,Word,अम्बार
hi:W:000016276,Word,अम्बर
hi:W:000016277,Word,जखीरा
hi:W:000016278,Word,ज़ख़ीरा
hi:W:000016279,Word,गंज
hi:W:0000162710,Word,अड़ार
hi:W:0000162711,Word,गंजी
hi:W:0000162712,Word,गांज
hi:W:0000162713,Word,पुंज
hi:W:0000162714,Word,पुंग
hi:W:0000162715,Word,अड़ारी
hi:W:0000162716,Word,निकर
hi:W:0000162717,Word,टाल
hi:W:0000162719,Word,आचय
hi:W:0000162720,Word,उच्चय
hi:W:000016280,Word,कमल
hi:W:000016281,Word,कँवल
hi:W:000016282,Word,अरविन्द
hi:W:000016283,Word,अरविंद
