identifier,objectType,Lemma
hi:W:000221051,Word,दौड़ाक
hi:W:000221060,Word,धाविका
hi:W:000221080,Word,अपीली
hi:W:000221090,Word,अपाढ़
hi:W:000221100,Word,रणनीतिज्ञ
hi:W:000221110,Word,बृहद्भानु
hi:W:000221120,Word,बृहद्रथ
hi:W:000221130,Word,अपाल
hi:W:000221131,Word,रक्षकरहित
hi:W:000221140,Word,एकांतवासी
hi:W:000221141,Word,एकान्तवासी
hi:W:000221142,Word,एकांतसेवी
hi:W:000221143,Word,एकान्तसेवी
hi:W:000221144,Word,एकांत-वासी
hi:W:000221145,Word,एकान्त-वासी
hi:W:000221146,Word,एकांत-सेवी
hi:W:000221147,Word,एकान्त-सेवी
hi:W:000221148,Word,एकांत_वासी
hi:W:000221149,Word,एकान्त_वासी
hi:W:0002211410,Word,एकांत_सेवी
hi:W:0002211411,Word,एकान्त_सेवी
hi:W:000221160,Word,अपासन
hi:W:000221170,Word,सत्यवान
hi:W:000221190,Word,हथकरघा
hi:W:000221191,Word,हैंडलूम
hi:W:000221192,Word,हैण्डलूम
hi:W:000221200,Word,हिटलर
hi:W:000221201,Word,एडोल्फ_हिटलर
hi:W:000221202,Word,अडॉल्फ_हिटलर
hi:W:000221210,Word,हस्तांतरक
hi:W:000221211,Word,हस्तान्तरक
hi:W:000221220,Word,हलवाइन
hi:W:000221240,Word,बिजली-करघा
hi:W:000221241,Word,बिजली_करघा
hi:W:000221242,Word,पावरलूम
hi:W:000221250,Word,रजोगोत्र
hi:W:000221262,Word,ख़ुदगरजी
hi:W:000221270,Word,घातकता
hi:W:000221280,Word,अपील_न्यायालय
hi:W:000221281,Word,अपील-न्यायालय
hi:W:000221282,Word,अपीलांट
hi:W:000221291,Word,पुण्यरहित
hi:W:000221292,Word,पुण्यहीन
hi:W:000221300,Word,निपूतता
hi:W:000221301,Word,अपुत्रता
hi:W:000221302,Word,पुत्ररहितता
hi:W:000221312,Word,अपुत्रिका
hi:W:000221320,Word,रणोत्कट
hi:W:000221342,Word,अपुत्रक
hi:W:000221343,Word,अपुत्र
hi:W:000221360,Word,रश्मिकेतु
hi:W:000221400,Word,रश्मिक्रीड़ा
hi:W:000221410,Word,रविजकेतु
hi:W:000221420,Word,रुक्ममाली
hi:W:000221430,Word,रुक्ममाहु
hi:W:000221440,Word,रुक्मरथ
hi:W:000221450,Word,शल्य
hi:W:000221470,Word,दुबलापन
hi:W:000221474,Word,अपुष्टता
hi:W:000221475,Word,कृशता
hi:W:000221476,Word,क्षीणता
hi:W:000221477,Word,शीर्णता
hi:W:000221478,Word,शीर्णत्व
hi:W:000221490,Word,रुक्मसेन
hi:W:000221500,Word,हितार्थ
hi:W:000221501,Word,कल्याणार्थ
hi:W:000221510,Word,अपुष्य
hi:W:000221520,Word,पाटनदार
hi:W:000221530,Word,अपूजक
hi:W:0002215510,Word,आराध्यमान
hi:W:000221560,Word,अपूजित
hi:W:000221571,Word,इस्पिरिट
hi:W:000221572,Word,इसपिरिट
hi:W:000221590,Word,स्तनहार
hi:W:000221600,Word,स्कंधमल्लक
hi:W:000221601,Word,स्कन्धमल्लक
hi:W:000221610,Word,सौरध्री
hi:W:000221620,Word,सितारापेशानी
hi:W:000221630,Word,अपूय
hi:W:000221640,Word,गामचा
hi:W:000221650,Word,गावसुम्मा
hi:W:000221660,Word,गाजरघास
hi:W:000221661,Word,गाजर-घास
hi:W:000221680,Word,अपूर्णभूत
hi:W:000221681,Word,अपूर्णभूत_क्रिया
hi:W:000221682,Word,अपूर्णभूतकालिक
hi:W:000221683,Word,अपूर्णभूतकालिक_क्रिया
hi:W:000221701,Word,अजपाद
hi:W:000221702,Word,इंदुपर्णी
hi:W:000221703,Word,इन्दुपर्णी
hi:W:000221704,Word,इंदु-पर्णी
hi:W:000221705,Word,इन्दु-पर्णी
hi:W:000221710,Word,हितैषिता
hi:W:000221720,Word,अपूर्वरूप
hi:W:000221740,Word,काव्यालंकार
hi:W:000221741,Word,काव्यालङ्कार
hi:W:000221750,Word,अभिनंदन-पत्र
hi:W:000221751,Word,अभिनंदन_पत्र
hi:W:000221752,Word,ग्रीटिंग_कार्ड
hi:W:000221753,Word,अभिनंदनपत्र
hi:W:000221754,Word,अभिनन्दनपत्र
hi:W:000221755,Word,अभिनन्दन-पत्र
hi:W:000221756,Word,अभिनन्दन_पत्र
hi:W:000221770,Word,हत्याकांड
hi:W:000221780,Word,कट्टर
hi:W:000221782,Word,कट्टर-पंथी
hi:W:000221790,Word,गाधि
hi:W:000221800,Word,गालमसूरी
hi:W:000221822,Word,गवाँ_देना
hi:W:000221823,Word,खो_देना
hi:W:000221825,Word,गवां_देना
hi:W:000221830,Word,नकारार्थक
hi:W:000221831,Word,नकारार्थी
hi:W:000221850,Word,शिमला_मिर्च
hi:W:000221870,Word,शिवनामी
hi:W:000221891,Word,बंगाली_राग
hi:W:000221900,Word,बंगाल_राग
hi:W:000221910,Word,बंगाला
hi:W:000221911,Word,बँगाला
hi:W:000221920,Word,फौलादी
hi:W:000221921,Word,इस्पाती
hi:W:000221922,Word,फ़ौलादी
hi:W:000221923,Word,इसपाती
hi:W:000221960,Word,भस्मासुर
hi:W:000221962,Word,वृषासुर
hi:W:000221980,Word,पकारांत
hi:W:000221981,Word,पकारान्त
hi:W:000221990,Word,फकारांत
hi:W:000221991,Word,फकारान्त
hi:W:000222000,Word,कालकेतु
hi:W:000222010,Word,महादजी_सिंधिया
hi:W:000222011,Word,महादजी
hi:W:000222020,Word,नक्शानवीस
hi:W:000222021,Word,नक़्शानवीस
hi:W:000222022,Word,नकशानवीश
hi:W:000222023,Word,नक्शाकश
hi:W:000222024,Word,नक़्शाकश
hi:W:000222025,Word,नक्सानवीस
hi:W:000222030,Word,नक्शानवीसी
hi:W:000222031,Word,नक़्शानवीसी
hi:W:000222040,Word,नखास
hi:W:000222041,Word,नख़ास
hi:W:000222060,Word,नखियाना
hi:W:000222071,Word,काल्ह
hi:W:000222130,Word,तरसना
hi:W:000222131,Word,हड़कना
hi:W:000222140,Word,महाविद्यालयीन
hi:W:000222141,Word,महाविद्यालयीय
hi:W:000222150,Word,तरसाना
hi:W:000222160,Word,भद्रकाली
hi:W:000222170,Word,वामना
hi:W:000222200,Word,विकटानन
hi:W:000222210,Word,पनिवट
hi:W:000222220,Word,विद्रावण
hi:W:000222240,Word,अपूर्वविधि
hi:W:000222260,Word,लोहित्या
hi:W:000222270,Word,लौंदी
hi:W:000222280,Word,अपृथक्
hi:W:000222281,Word,अपृथक
hi:W:000222290,Word,वैसृप
hi:W:000222300,Word,व्याघ्रभट
hi:W:000222310,Word,अपेक्षाबुद्धि
