identifier,objectType,Lemma
hi:W:000048660,Word,दुर्दशाग्रस्त
hi:W:000048661,Word,खस्ताहाल
hi:W:000048662,Word,बदहाल
hi:W:000048664,Word,फटेहाल
hi:W:000048665,Word,फटीचर
hi:W:000048670,Word,संकटग्रस्त
hi:W:000048671,Word,आपदाग्रस्त
hi:W:000048672,Word,विपदाग्रस्त
hi:W:000048673,Word,विपत्तिग्रस्त
hi:W:000048674,Word,आपदग्रस्त
hi:W:000048680,Word,प्रवासी
hi:W:000048681,Word,प्रोषित
hi:W:000048682,Word,आप्रवासी
hi:W:000048683,Word,अप्रवासी
hi:W:000048690,Word,गर्भवती
hi:W:000048691,Word,गर्भिणी
hi:W:000048692,Word,दोहदवती
hi:W:000048693,Word,अंतर्वती
hi:W:000048694,Word,अन्तर्वती
hi:W:000048695,Word,अंतर्वत्नी
hi:W:000048696,Word,अन्तर्वत्नी
hi:W:000048697,Word,हामला
hi:W:000048698,Word,हामिला
hi:W:000048699,Word,अलवांती
hi:W:0000486910,Word,अलवाँती
hi:W:0000486911,Word,अलवाँत
hi:W:0000486912,Word,गुर्विणी
hi:W:0000486913,Word,अंतःसत्वा
hi:W:0000486914,Word,अन्तःसत्वा
hi:W:0000486915,Word,द्वींद्रिय
hi:W:0000486916,Word,द्वीन्द्रिय
hi:W:0000486917,Word,द्विहृदया
hi:W:0000486918,Word,रेतोधा
hi:W:0000486919,Word,आधानवती
hi:W:0000486920,Word,प्रेग्नेंट
hi:W:0000486921,Word,प्रेग्नेन्ट
hi:W:000048700,Word,टोपी
hi:W:000048701,Word,कैप
hi:W:000048710,Word,गैरकानूनी
hi:W:000048712,Word,गैर_कानूनी
hi:W:000048713,Word,ग़ैरक़ानूनी
hi:W:000048714,Word,गैर-कानूनी
hi:W:000048715,Word,ग़ैर-क़ानूनी
hi:W:000048716,Word,ग़ैर_क़ानूनी
hi:W:000048717,Word,ग़ैरवाजिब
hi:W:000048718,Word,नाजायज़
hi:W:000048719,Word,नाजायज
hi:W:0000487110,Word,अवैधानिक
hi:W:0000487111,Word,बेकायदा
