identifier,objectType,Lemma
hi:W:000000010,Word,अजन्मा
hi:W:000000011,Word,अजात
hi:W:000000012,Word,अनुत्पन्न
hi:W:000000013,Word,अनुद्भूत
hi:W:000000014,Word,अप्रादुर्भूत
hi:W:000000015,Word,अज
hi:W:000000016,Word,अजन
hi:W:000000017,Word,अजन्म
hi:W:000000018,Word,अनन्यभव
hi:W:000000019,Word,अनागत
hi:W:0000000110,Word,अयोनि
hi:W:000000020,Word,अशुभ
hi:W:000000021,Word,अमांगलिक
hi:W:000000022,Word,अमाङ्गलिक
hi:W:000000023,Word,मनहूस
hi:W:000000024,Word,अमंगल
hi:W:000000025,Word,अमङ्गल
hi:W:000000026,Word,अक्षेम
hi:W:000000027,Word,अरिष्ट
hi:W:000000028,Word,दग्ध
hi:W:000000030,Word,अप्रविष्ट
hi:W:000000040,Word,पवित्र_स्थान
hi:W:000000041,Word,चैत्य_स्थान
hi:W:000000042,Word,पुण्य_भूमि
hi:W:000000043,Word,पुण्य-स्थल
hi:W:000000044,Word,पुण्य_स्थल
hi:W:000000045,Word,चैत्य_स्थल
hi:W:000000046,Word,पवित्रभूमि
hi:W:000000047,Word,पवित्र_भूमि
hi:W:000000050,Word,शिवालय
hi:W:000000051,Word,शिव_मंदिर
hi:W:000000052,Word,शिव_मन्दिर
hi:W:000000053,Word,शिवाला
hi:W:000000054,Word,सिवाला
hi:W:000000055,Word,सौधाल
hi:W:000000056,Word,शिवायतन
hi:W:000000060,Word,अपवित्र_स्थान
hi:W:000000061,Word,अपुण्यभूमि
hi:W:000000062,Word,अपवित्रस्थली
hi:W:000000070,Word,आगत
hi:W:000000071,Word,समागत
hi:W:000000080,Word,जन्मा
hi:W:000000081,Word,उत्पन्न
hi:W:000000082,Word,जन्मा_हुआ
hi:W:000000083,Word,जात
hi:W:000000084,Word,संजात
hi:W:000000085,Word,जनित
hi:W:000000086,Word,प्रसूत
hi:W:000000087,Word,प्रसून
hi:W:000000088,Word,सूत
hi:W:000000089,Word,पैदा
hi:W:0000000810,Word,पैदा_हुआ
hi:W:0000000811,Word,संवृत्त
hi:W:0000000812,Word,आविर्भूत
hi:W:0000000813,Word,अवजनित
hi:W:0000000814,Word,उतपन्न
hi:W:0000000815,Word,अधिज
hi:W:0000000816,Word,निष्पन्न
hi:W:0000000817,Word,रूढ़
hi:W:000000090,Word,नैतिक_कार्य
hi:W:000000091,Word,सत्कर्म
hi:W:000000092,Word,सुकर्म
hi:W:000000093,Word,अच्छा_काम
hi:W:000000094,Word,सत्कार्य
hi:W:000000095,Word,सुकृत्य
hi:W:000000096,Word,साधुकर्म
hi:W:000000097,Word,अवदान
hi:W:000000098,Word,धर्म
hi:W:000000099,Word,धरम
hi:W:000000103,Word,उपजा
hi:W:000000104,Word,उपजा_हुआ
hi:W:000000110,Word,दुश्चरित्रता
hi:W:000000111,Word,दुश्चरितता
hi:W:000000112,Word,चरित्रहीनता
hi:W:000000113,Word,बदचलनी
hi:W:000000114,Word,दुराचारिता
hi:W:000000115,Word,अनाचारिता
hi:W:000000116,Word,भ्रष्टता
hi:W:000000117,Word,नष्टता
hi:W:000000120,Word,हेकड़ी
hi:W:000000121,Word,हैकड़ी
hi:W:000000122,Word,उद्धतता
hi:W:000000123,Word,हेकड़ीबाज़ी
hi:W:000000124,Word,हैकड़ीबाज़ी
hi:W:000000125,Word,हेकड़ीबाजी
hi:W:000000126,Word,हैकड़ीबाजी
hi:W:000000127,Word,हेकड़पन
hi:W:000000128,Word,हेकड़पना
hi:W:000000129,Word,हेकड़ीपन
hi:W:0000001210,Word,हेकड़ीपना
hi:W:000000130,Word,अत्याचार
hi:W:000000131,Word,अनाचार
hi:W:000000132,Word,अनीति
hi:W:000000133,Word,अन्याय
hi:W:000000134,Word,ज़ुल्म
hi:W:000000135,Word,जुल्म
hi:W:000000136,Word,ज़्यादती
hi:W:000000137,Word,ज्यादती
hi:W:000000138,Word,सितम
hi:W:000000139,Word,ज़ुल्मो_सितम
hi:W:0000001310,Word,जुल्मो_सितम
hi:W:0000001311,Word,ज़ुल्मोसितम
hi:W:0000001312,Word,जुल्मोसितम
hi:W:0000001313,Word,ज़ोर_ज़ुल्म
hi:W:0000001314,Word,जोर_जुल्म
hi:W:0000001315,Word,ज़ोर-ज़ुल्म
hi:W:0000001316,Word,जोर-जुल्म
hi:W:0000001317,Word,ज़ोरज़ुल्म
hi:W:0000001318,Word,जोरजुल्म
hi:W:0000001319,Word,अंधेर
hi:W:0000001320,Word,अंधेरगर्दी
hi:W:0000001321,Word,अँधेर
hi:W:0000001322,Word,अन्धेर
hi:W:0000001323,Word,अन्धेरगर्दी
