identifier,objectType,Lemma
hi:W:0000762211,Word,प्राण_निकालना
hi:W:0000762212,Word,जान_निकालना
hi:W:0000762213,Word,संहारना
hi:W:0000762215,Word,अरदना
hi:W:0000762216,Word,मौत_की_नींद_सुलाना
hi:W:0000762217,Word,जान_से_मारना
hi:W:0000762218,Word,खून_करना
hi:W:0000762219,Word,ख़ून_करना
hi:W:0000762220,Word,मार_डालना
hi:W:0000762222,Word,ठिकाने_पहुँचाना
hi:W:000076230,Word,मन_मारना
hi:W:000076240,Word,हाथापाई
hi:W:000076241,Word,हाथाबाँही
hi:W:000076242,Word,गुत्थमगुत्था
hi:W:000076250,Word,निर्देशन
hi:W:000076260,Word,सनंदन
hi:W:000076270,Word,समय_माप
hi:W:000076271,Word,समय_मात्रक
hi:W:000076272,Word,काल_माप
hi:W:000076280,Word,आबकारी_शुल्क
hi:W:000076281,Word,आबकारीशुल्क
hi:W:000076282,Word,आबकारी-शुल्क
hi:W:000076283,Word,एक्साइज_ड्यूटी
hi:W:000076290,Word,धनाढ्य_व्यक्ति
hi:W:000076293,Word,धनपति
hi:W:000076294,Word,धनपाल
hi:W:000076297,Word,पैसेवाला
hi:W:000076299,Word,रईस
hi:W:0000762913,Word,धनधारी
hi:W:0000762914,Word,धनकुबेर
hi:W:0000762915,Word,धन्नासेठ
hi:W:000076300,Word,जपमाला
hi:W:000076301,Word,करमाला
hi:W:000076302,Word,जपनी
hi:W:000076310,Word,धारा_प्रवाह
hi:W:000076311,Word,धाराप्रवाह
hi:W:000076312,Word,धारावत
hi:W:000076320,Word,पर्वत_श्रेणी
hi:W:000076321,Word,पर्वत_माला
hi:W:000076322,Word,पर्वत-श्रृंखला
hi:W:000076323,Word,पर्वत_श्रृंखला
hi:W:000076324,Word,पर्वतश्रृंखला
hi:W:000076325,Word,पर्वत_शृंखला
hi:W:000076326,Word,पर्वतश्रेणी
hi:W:000076327,Word,पर्वतमाला
hi:W:000076328,Word,पर्वतशृंखला
hi:W:000076329,Word,पर्वत-श्रेणी
hi:W:0000763210,Word,पर्वत-माला
hi:W:0000763211,Word,पर्वत-शृंखला
hi:W:000076340,Word,सनक
hi:W:000076350,Word,डेड़हा
hi:W:000076351,Word,डोड़हा
hi:W:000076352,Word,डुंडुभ
hi:W:000076353,Word,डुंडु
hi:W:000076360,Word,यौवराज्याभिषेक
hi:W:000076370,Word,दुकानदार
hi:W:000076371,Word,दुकानवाला
hi:W:000076372,Word,दूकानदार
hi:W:000076380,Word,धमधूसर
hi:W:000076391,Word,बाग़बान
hi:W:000076392,Word,बागबान
hi:W:000076393,Word,बाग़वान
hi:W:000076394,Word,बागवान
hi:W:000076395,Word,आरामिक
hi:W:000076410,Word,सनत्कुमार
hi:W:000076411,Word,सनतकुमार
hi:W:000076412,Word,सनत्_कुमार
hi:W:000076413,Word,धातृपुत्र
hi:W:000076420,Word,इँडुआ
hi:W:000076421,Word,गेंडुरी
hi:W:000076422,Word,गिंडुरी
hi:W:000076423,Word,इँडुरी
hi:W:000076424,Word,इंडुरी
