identifier,objectType,Lemma
hi:W:000167020,Word,दिशावकाशकव्रत
hi:W:000167030,Word,दिवोल्का
hi:W:000167040,Word,देवविहाग
hi:W:000167050,Word,देवशाक
hi:W:000167051,Word,देवसाक
hi:W:000167060,Word,देवाला
hi:W:000167070,Word,देशमल्लार
hi:W:000167080,Word,देशांकी
hi:W:000167090,Word,दोदिन
hi:W:000167100,Word,दोयरी
hi:W:000167110,Word,दोसाल
hi:W:000167120,Word,द्राविड़गोड़
hi:W:000167130,Word,घंटियार
hi:W:000167131,Word,घंटियार_रोग
hi:W:000167140,Word,घटकर्कट
hi:W:000167150,Word,घड़नैल
hi:W:000167151,Word,घड़नई
hi:W:000167160,Word,तरंड
hi:W:000167161,Word,तिरेंदा
hi:W:000167170,Word,तिरवट
hi:W:000167171,Word,तिरवट_राग
hi:W:000167180,Word,घमूह
hi:W:000167200,Word,घोंचवा
hi:W:000167201,Word,घोंचवा_बैल
hi:W:000167210,Word,घोंची
hi:W:000167211,Word,घोंची_गाय
hi:W:000167220,Word,चंदावती
hi:W:000167230,Word,चंद्रकांत
hi:W:000167231,Word,चंद्रकान्त
hi:W:000167232,Word,चन्द्रकांत
hi:W:000167233,Word,चन्द्रकान्त
hi:W:000167234,Word,चंद्रोपल
hi:W:000167236,Word,चन्द्रोपल
hi:W:000167244,Word,इंदुमणि
hi:W:000167245,Word,इन्दुमणि
hi:W:000167246,Word,इंदुमनि
hi:W:000167247,Word,इन्दुमनि
hi:W:0001672411,Word,चंद्रशिला
hi:W:0001672412,Word,चन्द्रशिला
hi:W:0001672413,Word,चंद्रकांतमणि
hi:W:0001672414,Word,चन्द्रकान्तमणि
hi:W:0001672417,Word,शशिकांतमणि
hi:W:0001672418,Word,शशिकान्तमणि
hi:W:0001672419,Word,शशांकोपल
hi:W:0001672420,Word,शशाङ्कोपल
hi:W:000167250,Word,चंद्रबिंब
hi:W:000167251,Word,चन्द्रबिम्ब
hi:W:000167260,Word,चाँचर
hi:W:000167261,Word,चाँचरि
hi:W:000167270,Word,नायकी
hi:W:000167280,Word,नायकीकान्हड़ा
hi:W:000167290,Word,नायकीमल्लार
hi:W:000167300,Word,नावरा
hi:W:000167310,Word,नासाज्वर
hi:W:000167320,Word,प्रेतोन्माद
hi:W:000167330,Word,फूलडोल
hi:W:000167340,Word,फेनमेह
hi:W:000167350,Word,फेफड़ी
hi:W:000167351,Word,फेफरी
hi:W:000167360,Word,बंगालिका
hi:W:000167370,Word,अनाहारमार्गणा
hi:W:000167380,Word,निरप्र
hi:W:000167381,Word,अनाहिताग्नि
hi:W:000167401,Word,उपासी
hi:W:000167410,Word,अनिगीर्ण
hi:W:000167411,Word,बिना_निगला
hi:W:000167430,Word,रक्तार्बुद
hi:W:000167450,Word,रक्तार्म
hi:W:000167460,Word,रक्तांड
hi:W:000167480,Word,रखियाना
hi:W:000167490,Word,विक्टोरिया
hi:W:000167510,Word,बेदमजनूँ
hi:W:000167520,Word,कौड़ेना
hi:W:000167530,Word,कौड़ीजूड़ा
hi:W:000167540,Word,शरदपूर्णिमा
hi:W:000167541,Word,कौमुदीचार
hi:W:000167542,Word,शरत्-पूर्णिमा
hi:W:000167543,Word,कोजागर
hi:W:000167544,Word,शरद्-पूर्णिमा
hi:W:000167545,Word,भूतपूर्णिमा
hi:W:000167546,Word,भूत-पूर्णिमा
hi:W:000167547,Word,शरद्पूर्णिमा
hi:W:000167548,Word,शरत्पर्व
hi:W:000167549,Word,रंगभूति
hi:W:0001675410,Word,रङ्गभूति
hi:W:000167550,Word,कौमारिक
hi:W:000167551,Word,कौमारिक_राग
hi:W:000167560,Word,कौशिकी-कान्हड़ा
hi:W:000167561,Word,कौशिकीकान्हड़ा
hi:W:000167580,Word,क्रोष्टशीर्षक
hi:W:000167590,Word,क्लारनेट
hi:W:000167600,Word,कूर्मद्वादशी
hi:W:000167610,Word,कूर्मिका
hi:W:000167620,Word,कूसल
hi:W:000167630,Word,अनित्यता
hi:W:000167631,Word,अनितता
hi:W:000167632,Word,अनित्यत्व
hi:W:000167633,Word,अस्थायित्व
hi:W:000167634,Word,नश्वरता
hi:W:000167640,Word,क्षणभंगुरता
hi:W:000167644,Word,क्षणिकता
hi:W:000167646,Word,अचिरता
hi:W:000167647,Word,अल्पकालीनता
hi:W:000167648,Word,अल्पकालिकता
hi:W:000167650,Word,सप्तमुष्टिक
hi:W:000167660,Word,सनहाना
hi:W:000167670,Word,अनिद्र
hi:W:000167671,Word,निद्राविहीन
hi:W:000167672,Word,निद्रारहित
hi:W:000167673,Word,अपनिद्र
hi:W:000167681,Word,प्रजागर
hi:W:000167690,Word,राप्ती
hi:W:000167691,Word,राप्ती_नदी
hi:W:000167692,Word,रापती
hi:W:000167693,Word,रापती_नदी
hi:W:000167701,Word,बेदारी
hi:W:000167710,Word,पर्णकुर्च
hi:W:000167720,Word,न्यग्रोधिक
hi:W:000167730,Word,नृसिंह-चतुर्दशी
