identifier,objectType,Lemma
hi:W:0000297721,Word,अचलधृष
hi:W:0000297722,Word,दिवराज
hi:W:0000297723,Word,दिव-राज
hi:W:0000297725,Word,अनंतदृष्टि
hi:W:0000297726,Word,अनन्तदृष्टि
hi:W:0000297727,Word,अनेकलोचन
hi:W:0000297728,Word,पाकहंता
hi:W:0000297729,Word,पाकहन्ता
hi:W:0000297730,Word,पाकशासन
hi:W:0000297731,Word,पाकारि
hi:W:0000297732,Word,सुरेन्द्र
hi:W:0000297734,Word,सहस्रचक्षु
hi:W:0000297735,Word,सहस्रनेत्र
hi:W:0000297736,Word,वृत्रहा
hi:W:0000297737,Word,वृत्रनाशन
hi:W:0000297738,Word,पुरन्दर
hi:W:0000297739,Word,सुरभानु
hi:W:0000297740,Word,सुरेंद्र
hi:W:0000297741,Word,सुरकेतु
hi:W:0000297746,Word,विजयंत
hi:W:0000297747,Word,वृत्रारि
hi:W:0000297748,Word,पौलोम
hi:W:0000297749,Word,दानवारि
hi:W:0000297750,Word,देवराज
hi:W:0000297751,Word,शचींद्र
hi:W:0000297752,Word,शचीन्द्र
hi:W:0000297755,Word,बिड़ौजा
hi:W:0000297756,Word,सुरनाथ
hi:W:0000297757,Word,सुरनायक
hi:W:0000297758,Word,सुरनाह
hi:W:0000297759,Word,दिवक्ष
hi:W:0000297760,Word,स्वर्पति
hi:W:0000297761,Word,अमरराज
hi:W:0000297762,Word,अमर-राज
hi:W:0000297763,Word,अमरनाथ
hi:W:0000297764,Word,अमरपति
hi:W:0000297766,Word,अमरवर
hi:W:0000297767,Word,अमरेश
hi:W:0000297768,Word,अमरेश्वर
hi:W:0000297770,Word,वलसूदन
hi:W:0000297771,Word,वलहंता
hi:W:0000297772,Word,वलहन्ता
hi:W:0000297773,Word,श्वेतवह
hi:W:0000297774,Word,श्वेतवाह
hi:W:0000297775,Word,पूतक्रतु
hi:W:0000297776,Word,विवुधेश
hi:W:0000297778,Word,वृत्रवैरी
hi:W:0000297779,Word,वृषाकपि
hi:W:0000297782,Word,वेत्रहा
hi:W:0000297783,Word,शक्र
hi:W:0000297784,Word,शाक्वर
hi:W:0000297785,Word,त्रिदशपति
hi:W:0000297786,Word,त्रिदशाधिप
hi:W:0000297787,Word,त्रिदिवाधीश
hi:W:0000297788,Word,त्रिदशेश्वर
hi:W:0000297791,Word,दैत्यदानवमर्दन
hi:W:0000297792,Word,मेघपति
hi:W:0000297793,Word,तुरासाह
hi:W:0000297794,Word,वलहिष
hi:W:0000297795,Word,दौल्मि
hi:W:0000297797,Word,यामनेमि
hi:W:0000297798,Word,अरब
hi:W:0000297799,Word,मदनपति
hi:W:00002977100,Word,खदिर
hi:W:00002977101,Word,मघवान
hi:W:00002977102,Word,रंभापति
hi:W:00002977103,Word,रम्भापति
hi:W:00002977104,Word,पचत
