code,assetid,type,src
q1,do_10093752,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q1_128_1468919139_1468919116928.jpeg
q1a,do_10093753,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q1optiona_128_1468919163_1468919141132.jpeg
q1b,do_10093754,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q1optionb_128_1468919219_1468919196546.jpeg
q1c,do_10093755,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q1optionc_128_1468919243_1468919220389.jpeg
q1d,do_10093756,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q1optiond_128_1468919259_1468919236528.jpeg
