identifier,objectType,createdBy,consumerId,audience,copyType,versionKey
do_30095559,Content,323,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30096086,Content,636,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30100596,Content,724,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30100634,Content,731,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101037,Content,491,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101074,Content,491,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101069,Content,491,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101158,Content,743,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101197,Content,748,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101209,Content,748,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101448,Content,736,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101718,Content,567,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30101835,Content,728,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30102043,Content,128,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30102167,Content,786,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30102682,Content,129,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30102691,Content,132,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30102835,Content,786,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30102874,Content,786,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30102873,Content,786,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30102870,Content,786,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30104217,Content,767,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30105318,Content,781,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30105535,Content,788,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30105536,Content,788,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30105819,Content,752,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30106172,Content,959,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30107114,Content,386,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30107591,Content,658,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30107695,Content,658,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30107700,Content,659,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30107802,Content,813,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30108628,Content,248,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30108659,Content,658,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30108759,Content,959,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30108696,Content,567,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30109120,Content,215,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30109335,Content,215,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30109736,Content,728,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
do_30109734,Content,728,62e15662-bb09-439f-86e2-d65bd84f3c23,Learner,Enhance,oM2wLF8Eq3vRnt3qZ0+Y/sWQnH5pz3bHpciFo3EIifZIcP5RW4qHw8sZztCzv87M
